System,Iteration,NoiseType,NoiseLevel,Miner,Precision,LogFitness,Generalization,Simplicity
Sepsis,1,i,1.5,alpha,0.12577670122015439,0.2064504444872356,0.2588788321572094,1.0
Sepsis,1,i,1.5,heuristic,0.49774767259501485,0.8959608339425562,0.4877397725099344,0.4820512820512821
Sepsis,1,i,1.5,inductive,0.15266720840712122,1.0,0.6078401436014207,0.6693766937669376
Sepsis,1,i,2.0,alpha,0.10565427293177965,0.16147706275706358,0.23762680379929169,1.0
Sepsis,1,i,2.0,heuristic,0.4468103036602151,0.8970953950416696,0.42260235281449965,0.4892703862660944
Sepsis,1,i,2.0,inductive,0.11489206520606599,1.0,0.5633426095053062,0.6561085972850678
Sepsis,1,s,0.5,alpha,0.37420959147424515,0.22676592691120823,0.7305424938337924,0.5744680851063829
Sepsis,1,s,0.5,heuristic,0.7173190813231258,0.896650020821193,0.798772172823242,0.42857142857142855
Sepsis,1,s,0.5,inductive,0.2232704556710029,1.0,0.7982388280006782,0.6042780748663101
Sepsis,1,s,1.0,alpha,0.2690264582694861,0.16838781215301513,0.5628341465944593,0.853658536585366
Sepsis,1,s,1.0,heuristic,0.6948412861789287,0.8998688825368608,0.6866309206379786,0.4381270903010034
Sepsis,1,s,1.0,inductive,0.19887672561619874,0.9999748541540937,0.7785148186383645,0.6216216216216216
Sepsis,1,s,1.5,alpha,0.2186027842913577,0.14472577216073879,0.4703007720075203,1.0
Sepsis,1,s,1.5,heuristic,0.712783263345061,0.9001087074016842,0.6355561376494743,0.4338461538461538
Sepsis,1,s,1.5,inductive,0.1861260798905141,0.9999881343664345,0.7336712983956675,0.6190476190476191
Sepsis,1,s,2.0,alpha,0.19253189152656924,0.16052171969013695,0.4311082950272288,1.0
Sepsis,1,s,2.0,heuristic,0.7296720495126983,0.8996612965542807,0.6175838723926592,0.43543543543543545
Sepsis,1,s,2.0,inductive,0.1565032088609163,0.9999786153180843,0.7129936422357499,0.6164383561643836
Sepsis,1,o,0.5,alpha,0.4427609427609428,0.2582998594173914,0.9131789227698267,0.45833333333333337
Sepsis,1,o,0.5,heuristic,0.7339363203847964,0.8966854008837265,0.8301854659830626,0.432
Sepsis,1,o,0.5,inductive,0.2622005323868678,1.0,0.9050177486282522,0.6266666666666667
Sepsis,1,o,1.0,alpha,0.44227696964601027,0.22920912888970985,0.9131789227698267,0.4782608695652174
Sepsis,1,o,1.0,heuristic,0.7342891528439119,0.8967525902850615,0.8304146160144379,0.432
Sepsis,1,o,1.0,inductive,0.2602586177010989,1.0,0.9024564072028467,0.6164383561643836
Sepsis,1,o,1.5,alpha,0.44227696964601027,0.22920912888970985,0.9131789227698267,0.4782608695652174
Sepsis,1,o,1.5,heuristic,0.7344020116297344,0.8967198240583443,0.8304521370400825,0.432
Sepsis,1,o,1.5,inductive,0.26016537330336353,1.0,0.9024564072028467,0.6164383561643836
Sepsis,1,o,2.0,alpha,0.44183116337673245,0.22359860615679805,0.9131789227698267,0.45833333333333337
Sepsis,1,o,2.0,heuristic,0.7332495154277332,0.9003151157510823,0.828030231331049,0.43529411764705883
Sepsis,1,o,2.0,inductive,0.26012191951001074,1.0,0.9024564072028467,0.6164383561643836
Sepsis,1,i-a-o-s,0.5,alpha,0.37321997874601487,0.24046071026981242,0.8117124246551266,0.4716981132075471
Sepsis,1,i-a-o-s,0.5,heuristic,0.6930147058823529,0.8892715369921111,0.7957204660999084,0.43529411764705883
Sepsis,1,i-a-o-s,0.5,inductive,0.21170219979271,1.0,0.8576823080197452,0.6047904191616766
Sepsis,1,i-a-o-s,1.0,alpha,0.3000853727945362,0.22901280576284117,0.6352503265256682,0.53125
Sepsis,1,i-a-o-s,1.0,heuristic,0.6837310624814338,0.8929120786973088,0.7507057420173139,0.4444444444444444
Sepsis,1,i-a-o-s,1.0,inductive,0.16988910354899067,1.0,0.781322909196905,0.6115107913669064
Sepsis,1,i-a-o-s,1.5,alpha,0.25963314046534536,0.1423253189752084,0.6209849135389129,0.673469387755102
Sepsis,1,i-a-o-s,1.5,heuristic,0.6843174162869031,0.8937629179785994,0.7238452730226261,0.45390070921985815
